jugador_entra,jugador_sale,Minuto,equipo
"SINTES PONS, PAU","AMELLER RIUDAVETS, JOSEP",45,FERRERIES A
"MBAYE RUIZ, MOUHAMAD YASIN","BOSCH PULIDO, NIL",56,FERRERIES A
"CANTALAPIEDRA LOBATO, IKER","PULIDO COLL, IZAN",56,FERRERIES A
"CAMPS CARETA, PERE","FLORIT TAJUELO, HECTOR",77,FERRERIES A
"JANER BOSCH, NOFRE","PONS CARRERAS, ANGEL",77,FERRERIES A
"SANS JIMENEZ, MIQUEL ANGEL","BARRY DIALLO, MAMADOU ALIOU",60,SP. ATº CIUTAT DE PALMA
"CORTES MONTANER, LUIS","GOMEZ BLANCA, AARON",60,SP. ATº CIUTAT DE PALMA
"ABRAHAM BOLAÑOS, ISAAC","GAETE MARTINEZ, ISMAEL",60,SP. ATº CIUTAT DE PALMA
"AQUINO GUTIERREZ, DAN JOEL","KRAUSSE, IGNACIO TOMAS",68,SP. ATº CIUTAT DE PALMA
"BLANCO VALERO, DAVID","KRZYZYK SERRANO, PEDRO",80,SP. ATº CIUTAT DE PALMA
