jugador_entra,jugador_sale,Minuto,equipo
"LOPEZ FUXA, AARON","EZ ZARY SAIDI, ISMAEL",46,SANTA CATALINA ATº A
"VICH FORTEZA, LLUC","LOMAS SERVERA, PAU",46,SANTA CATALINA ATº A
"MASCARELL LLABRES, MARC","SASTRE BOTA, JAUME",63,SANTA CATALINA ATº A
"ALARCON RAGO, THIAGO","HASHIMOTO SEBASTIÁN, GAIZKA",63,SANTA CATALINA ATº A
"AOUATE OHANA, YARIN","MARTIN CABALLERO, ANGEL",87,SANTA CATALINA ATº A
"PASCUAL GORNES, ENRIC","JUANEDA JUANEDA, JOSEP",64,PENYA CIUTADELLA ESPORTIVA A
"TALTAVULL VALVERDE, IAN","ARGUIMBAU ALLES, MACIA",64,PENYA CIUTADELLA ESPORTIVA A
"AGUILAR BOSCH, DAVID","RUS FERNANDEZ, IGNASI",70,PENYA CIUTADELLA ESPORTIVA A
"FEDELICH MARQUES, JAN","TRIAY SASTRE, ADRIA",83,PENYA CIUTADELLA ESPORTIVA A
"CAPO MORA, MARC","DIAZ LLABRES, ISAAC",83,PENYA CIUTADELLA ESPORTIVA A
