jugador_entra,jugador_sale,Minuto,equipo
"ARBOS DENGRA, DIEGO","PETRARCA, ELIA",56,SD LA SALLE A
"PUYA TUR, OSCAR","ESCUERO PARDOS, MARTI",64,SD LA SALLE A
"AMAYA MALENO, FRANCISCO","VIVARES ARANDA, YANNICK",64,SD LA SALLE A
"RODRIGUEZ MONGELOS, GAEL PAU","FUSTER CORTES, FERNANDO",64,SD LA SALLE A
"SANCHEZ LAFUENTE, ARITZ","SALMERON SEGURA, JONATHAN",72,SD LA SALLE A
"CORCINO MUÑOZ, ANDRES","MARTINEZ BELA, JAVIER",56,MALLORCA B
"FRESNEDA HIDALGO, HUGO","TEJADA LLADONET, ORIOL",56,MALLORCA B
"LAZARO TORRES, MARIO","MOLINA DONAIRE, DANIEL",72,MALLORCA B
"BURGAYA GENOVART, FERRAN","BIARNES MORENO, ALEJANDRO",72,MALLORCA B
"GARCIA LLOMPART, RAFEL","HORRACH LLABRES, GERARDO",81,MALLORCA B
