jugador_entra,jugador_sale,Minuto,equipo
"DE OLIVEIRA MESSIAS, EMMANUEL","ELHADJ ABDOULAYE, BALDE",45,UD MAHON
"MASCARO MARTINEZ, IKER","DE OLIVEIRA MESSIAS, KLAYVER",59,UD MAHON
"AMELLER ENRICH, LLORENÇ","GRUBAC, NOA",71,UD MAHON
"DELICADO NIEWIAROWSKI, NICOLAS JAYDON","GOMEZ SANTOS, JUAN",71,UD MAHON
"BOLIVAR PERAL, ROGER","LOPEZ FERNANDEZ, MARC",72,UD MAHON
"MARTIN MONSALVE, IAN","OLIVER GELABERT, PERE",60,CONSTANCIA A
"BALLE BRUNET, JOAN","COLL AREVALO, JORDI",60,CONSTANCIA A
"FONTCUBERTA GALINDO, GABRIEL","GALVEZ ESPINOZA, BRAD ANTONY",75,CONSTANCIA A
"CABEZAS GALLARDO, MANUEL","BLANCO WEBER, LUCA",83,CONSTANCIA A
"RIBAS ROSALIA, XAVIER","COMPANY INGLA, JAUME",83,CONSTANCIA A
