jugador_entra,jugador_sale,Minuto,equipo
"MORENO GODOY, NICOLAS","RIBAS ROSALIA, XAVIER",55,CONSTANCIA A
"ROMAN DE REMENTERIA, ASIER","GALVEZ ESPINOZA, BRAD ANTONY",63,CONSTANCIA A
"BOTELLO CARMONA, PAU","MARTIN MONSALVE, IAN",63,CONSTANCIA A
"CABEZAS GALLARDO, MANUEL","MAIRATA NOGUERA, ADRIA",77,CONSTANCIA A
"COLL AREVALO, JORDI","BLANCO WEBER, LUCA",77,CONSTANCIA A
"FERNÁNDEZ RODRÍGUEZ, IKER","MESA ZAFRA, CHRISTIAN",46,PLA DE NA TESA A
"MORA GISPERT, HUGO","NAVARRO BEZARES, JAVIER",46,PLA DE NA TESA A
"ASAMOAH ASANTEWAA, DENIS","MASCARÓ SERVERA, JUAN",59,PLA DE NA TESA A
"AIT SAID TAFZATI, NABIL","MONTALBAN ROMERO, MILO JERONIMO",83,PLA DE NA TESA A
"HOMAR PELLICER, JOEL","ONCALA CARAVACA, DANIEL",89,PLA DE NA TESA A
