jugador_entra,jugador_sale,Minuto,equipo
"COCA ANTELO, ANDREW","CORCINO MUÑOZ, ANDRES",46,MALLORCA B
"MOLINA DONAIRE, DANIEL","TEJADA LLADONET, ORIOL",66,MALLORCA B
"VAN DER MEER GARI, YANNICK","VERD ALONSO, ABEL",66,MALLORCA B
"VERA SALINAS, ERIK","BURGAYA GENOVART, FERRAN",81,MALLORCA B
"LAZARO TORRES, MARIO","MARTINEZ BELA, JAVIER",81,MALLORCA B
"DE OLIVEIRA MESSIAS, KLAYVER","ESPINOZA ARMIJOS, CARLOS ANDRES",56,UD MAHON
"DE OLIVEIRA MESSIAS, EMMANUEL","ELHADJ ABDOULAYE, BALDE",56,UD MAHON
"TEJEDOR MORENO, ALEJANDRO","DIALLO, FODE",69,UD MAHON
"MASCARO MARTINEZ, IKER","SINTES MELERO, ALVARO",69,UD MAHON
"BOLIVAR PERAL, ROGER","GRUBAC, NOA",86,UD MAHON
