jugador_entra,jugador_sale,Minuto,equipo
"JIMENA BELTRAN, CARLOS","MORAGUES MORAGUES, JOAN",63,POBLENSE A
"THIAM BORRAS, KARIM","FERRER RIGO, SEBASTIÀ",63,POBLENSE A
"TUR ESCALAS, TONI","AGUILERA PERELLO, ADRIÀ",63,POBLENSE A
"VIVES COMAS, JOAN JORDI","CAIMARI FIGUEROLA, JAUME",83,POBLENSE A
"MENDEZ DUARTE, IVAN","RETTICH SOLER, JOSEP",90,POBLENSE A
"MOYA PEDREGOSA, ALEJANDRO","PANEQUE PÉREZ, JOEL",56,SD LA SALLE A
"AMAYA MALENO, FRANCISCO","ESCUERO PARDOS, MARTI",56,SD LA SALLE A
"PETRARCA, ELIA","RODRIGUEZ MONGELOS, GAEL PAU",56,SD LA SALLE A
"FERNANDEZ CABRERA, DAVID","SALMERON SEGURA, JONATHAN",63,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","VIVARES ARANDA, YANNICK",67,SD LA SALLE A
