jugador_entra,jugador_sale,Minuto,equipo
"KEITA SIDIBE, MADY","KRAUSSE, IGNACIO TOMAS",58,SP. ATº CIUTAT DE PALMA
"ABRAHAM BOLAÑOS, ISAAC","KRZYZYK SERRANO, PEDRO",58,SP. ATº CIUTAT DE PALMA
"FERNÁNDEZ CASSO, ALBERTO","GOMEZ BLANCA, AARON",80,SP. ATº CIUTAT DE PALMA
"AQUINO GUTIERREZ, DAN JOEL","SARMIENTO CABAÑIN, GABRIEL A",91,SP. ATº CIUTAT DE PALMA
"BLANCO VALERO, DAVID","MUNAR LAZARO, DANIEL",91,SP. ATº CIUTAT DE PALMA
"VALLESPIR TIMONER, PERE MARC","MUÑOZ BAIXAULI, JUAN",56,PENYA ARRABAL A
"ARIAS BESTARD, ENZO","SEGUI ESTEBAN, IAN",64,PENYA ARRABAL A
"LEBRERO BENITEZ, HUGO","VAZQUEZ SUAREZ, HUGO",64,PENYA ARRABAL A
"HERRERA IGLESIAS, ADRIAN","CASTAÑER PECELLIN, RAFAEL",64,PENYA ARRABAL A
"MORENO PUJOL, JAVIER","CRESPI BARRERA, LEONARDO",80,PENYA ARRABAL A
