jugador_entra,jugador_sale,Minuto,equipo
"RODRIGUEZ ROIG, ARIAN","GARCIA ALBA, JAVIER",43,U D IBIZA A
"TORRES RIERA, LLUC","MARTOS VERGARA, DANIEL",70,U D IBIZA A
"CUBERO GUASCH, JOAN","PERIAÑEZ RODRIGUEZ, DANIEL",70,U D IBIZA A
"GONZALEZ CASURIAGA, THIAGO","ELIAS ARANDIA, SAMUEL ABEL",80,U D IBIZA A
"MARTIN LOPEZ, IKER","GORLA, AGUSTIN",80,U D IBIZA A
"ROMERO ALASSIA, LUCAS T","SAMPOL MARTINEZ, MARC",59,PALMA F.C.
"ALLENDES SEPULVEDA, MARTIN ALONSO","VICENS VIDAL, PAU",59,PALMA F.C.
"FOLGADO GARNICA, PAULO","FRANCO SINGEORZAN, ALEX",70,PALMA F.C.
"JIMENEZ JARAMILLO, KARLO ANDREU","VILLALONGA GÓMEZ, IKER",70,PALMA F.C.
"ALCALDE ORTEGA, JUAN JOSÉ","CONDE, MAMADI",74,PALMA F.C.
