jugador_entra,jugador_sale,Minuto,equipo
"BOSCH PULIDO, NIL","CANTALAPIEDRA LOBATO, IKER",65,FERRERIES A
"JANER BOSCH, NOFRE","BOSCH VALDERRABANO, TONI",72,FERRERIES A
"PONS CARRERAS, ANGEL","CAMPS CARETA, PERE",72,FERRERIES A
"MBAYE RUIZ, MOUHAMAD YASIN","GOMILA BOSCH, LLUÍS",87,FERRERIES A
"AMELLER RIUDAVETS, JOSEP","PULIDO COLL, IZAN",87,FERRERIES A
"MESTRE RIBOT, PAU","ADROVER GARRIDO, ALBERT",52,MANACOR A
"SOLER CALDENTEY, JOEL","ADROVER GARRIDO, GERARD",65,MANACOR A
"RODRIGUEZ LOPEZ, RAUL","MARCOS MONGE, IKER",65,MANACOR A
"GRAHAM, NATHAN STUART","CORCHADO JIMENEZ, ISAAC",87,MANACOR A
"TRIAY PETHERAM, TOMAS ISMAEL","LAMSIAH AJGHOUF, OSSAMA",87,MANACOR A
