jugador_entra,jugador_sale,Minuto,equipo
"BELFAQUIH ZBAT, ANUAR","MAS MAIMO, JOSEP",45,PENYA ARRABAL A
"GARCIA HERNANDEZ, JOSE RAMON","VALLESPIR TIMONER, PERE MARC",45,PENYA ARRABAL A
"CASTAÑER PECELLIN, RAFAEL","VAZQUEZ SUAREZ, HUGO",59,PENYA ARRABAL A
"FIOL ACEITUNO, MIQUEL","ROTTLANDER, LENNOX MARKUS",75,PENYA ARRABAL A
"ARALUCE SERRA, ADRIAN","HERRERA IGLESIAS, ADRIAN",82,PENYA ARRABAL A
"JIMENEZ PASTOR, IKER","HOMAR GARCIA, ROMAN",70,ANDRATX A
"ALARCON FERRER, ADRIAN","VARGAS RODRIGUEZ, NICOLAS",84,ANDRATX A
"CASTELLO FERRA, JOAN","ROGEL ARRIAGA, BRYAN STALIN",84,ANDRATX A
"SANCHEZ JIMENEZ, FERNANDO","LUPIAÑEZ ALEMANY, TONI",90,ANDRATX A
"BRIOSO SERRANO, EMILIO JOSÉ","PATRICIO TORRRENS, JUAN",90,ANDRATX A
