jugador_entra,jugador_sale,Minuto,equipo
"DEYÀ BELTRÁN, SEBASTIÀ","MENDOZA SOLER, MARIO",75,SANTA CATALINA ATº A
"LOMAS SERVERA, PAU","KOPACH, DANIIL",75,SANTA CATALINA ATº A
"EZ ZARY SAIDI, ISMAEL","ADROVER MELIS, FRANCESC",75,SANTA CATALINA ATº A
"SASTRE BOTA, JAUME","MARTIN CABALLERO, ANGEL",81,SANTA CATALINA ATº A
"BARRIGA CATRINA, VICTOR","LOPEZ FUXA, AARON",81,SANTA CATALINA ATº A
"COLL AREVALO, JORDI","BLANCO WEBER, LUCA",52,CONSTANCIA A
"CHUKWUKERE PULLET, GREGORY IKECHUKWU","CABEZAS GALLARDO, MANUEL",52,CONSTANCIA A
"BALLE BRUNET, JOAN","BOTELLO CARMONA, PAU",69,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","OLIVER GELABERT, PERE",69,CONSTANCIA A
"KOUJILI EL TALHAOUI, MAROUAN","PATRICIO GUAL, MARC",77,CONSTANCIA A
