jugador_entra,jugador_sale,Minuto,equipo
"ESCUERO PARDOS, MARTI","AMAYA MALENO, FRANCISCO",46,SD LA SALLE A
"FERNANDEZ CABRERA, DAVID","PETRARCA, ELIA",46,SD LA SALLE A
"MOYA PEDREGOSA, ALEJANDRO","VIVARES ARANDA, YANNICK",70,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","ARBOS DENGRA, DIEGO",70,SD LA SALLE A
"SALMERON SEGURA, JONATHAN","TORRALBA TANUGGI, LUIS",75,SD LA SALLE A
"KRZYZYK SERRANO, PEDRO","ORDOÑEZ QUETGLAS, MARC",58,SP. ATº CIUTAT DE PALMA
"GAETE MARTINEZ, ISMAEL","GOMEZ BLANCA, AARON",58,SP. ATº CIUTAT DE PALMA
"BLANCO VALERO, DAVID","KRAUSSE, IGNACIO TOMAS",63,SP. ATº CIUTAT DE PALMA
"CACERES AMOROS, MATEO","CORTES MONTANER, LUIS",63,SP. ATº CIUTAT DE PALMA
"AQUINO GUTIERREZ, DAN JOEL","SANS JIMENEZ, MIQUEL ANGEL",68,SP. ATº CIUTAT DE PALMA
