jugador_entra,jugador_sale,Minuto,equipo
"SABATER SANCHO, MARC","CHUKWUKERE PULLET, GREGORY IKECHUKWU",46,CONSTANCIA A
"BALLE BRUNET, JOAN","PATRICIO GUAL, MARC",54,CONSTANCIA A
"MARTIN MONSALVE, IAN","OLIVER GELABERT, PERE",54,CONSTANCIA A
"BOTELLO CARMONA, PAU","CABEZAS GALLARDO, MANUEL",60,CONSTANCIA A
"CRESPI LUCENA, JUAN MIQUEL","ROMAN DE REMENTERIA, ASIER",79,CONSTANCIA A
"LOPEZ CABRERA, JESUS","CONDE PEREIRA, ALEJANDRO MANUEL",46,SAN FRANCISCO B
"LLEDO SAMPOL, ADRIA","GIRALDE BAUZA, JAVIER",70,SAN FRANCISCO B
"TEJADA RODRIGUEZ, JOAN","SALAMANCA GALERA, AITOR",80,SAN FRANCISCO B
"MASSANET CABRER, FRANCESC","LEDESMA COR, MATEU",80,SAN FRANCISCO B
"SILVA SALINAS, ALEJANDRO","BORDOY LEAL, PEDRO",85,SAN FRANCISCO B
