jugador_entra,jugador_sale,Minuto,equipo
"ADROVER GARRIDO, ALBERT","MESTRE RIBOT, PAU",55,MANACOR A
"ADROVER GARRIDO, GERARD","CORCHADO JIMENEZ, ISAAC",55,MANACOR A
"TRIAY PETHERAM, TOMAS ISMAEL","MARTINEZ ABELLAN, IKER",70,MANACOR A
"NOLAN MUÑOZ, SERGIO","LAMSIAH AJGHOUF, OSSAMA",70,MANACOR A
"RODRIGUEZ LOPEZ, RAUL","RODRIGUEZ GALDON, DANIEL",82,MANACOR A
"ARIAS BESTARD, ENZO","CASTAÑER PECELLIN, RAFAEL",47,PENYA ARRABAL A
"PONS SERRANO, ALEIX","MESQUIDA URIBE, XAVIER",71,PENYA ARRABAL A
"LEBRERO BENITEZ, HUGO","SEGUI ESTEBAN, IAN",71,PENYA ARRABAL A
"VALLESPIR TIMONER, PERE MARC","HERRERA IGLESIAS, ADRIAN",85,PENYA ARRABAL A
"VANEY BEVIONE, LUCAS","CRESPI BARRERA, LEONARDO",85,PENYA ARRABAL A
