jugador_entra,jugador_sale,Minuto,equipo
"DE LA CRUZ RIERA, JOAN MATEU","FERNANDEZ HEREDIA, ALEJANDRO",28,POBLENSE A
"FERRER RIGO, SEBASTIÀ","MORAGUES MORAGUES, JOAN",65,POBLENSE A
"THIAM BORRAS, KARIM","GONZÁLEZ ONETO, ASSIER",65,POBLENSE A
"VIVES COMAS, JOAN JORDI","AGUILERA PERELLO, ADRIÀ",93,POBLENSE A
"GIBSON, JASPER","RETTICH SOLER, JOSEP",93,POBLENSE A
"TEJEDOR MORENO, ALEJANDRO","ELHADJ ABDOULAYE, BALDE",46,UD MAHON
"PEREZ MARTIN, IGNACIO","DIALLO, FODE",59,UD MAHON
"SINTES MELERO, ALVARO","BOLIVAR PERAL, ROGER",67,UD MAHON
"LOPEZ FERNANDEZ, MARC","DE LA PUENTE JAÑEZ, NICOLAS",75,UD MAHON
"LASSO VIAFARA, ANDRES FELIPE","DE OLIVEIRA MESSIAS, EMMANUEL",75,UD MAHON
