jugador_entra,jugador_sale,Minuto,equipo
"CACERES AMOROS, MATEO","CORTES MONTANER, LUIS",61,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","KRAUSSE, IGNACIO TOMAS",67,SP. ATº CIUTAT DE PALMA
"KEITA SIDIBE, MADY","AMENGUAL LIRIO, IVAN",67,SP. ATº CIUTAT DE PALMA
"SANS JIMENEZ, MIQUEL ANGEL","GAETE MARTINEZ, ISMAEL",67,SP. ATº CIUTAT DE PALMA
"BLANCO VALERO, DAVID","SARMIENTO CABAÑIN, GABRIEL A",78,SP. ATº CIUTAT DE PALMA
"MOLINA DONAIRE, DANIEL","DIALLO CONDE, ABDOURAHAMANE",46,MALLORCA B
"TEJADA LLADONET, ORIOL","FRESNEDA HIDALGO, HUGO",60,MALLORCA B
"MARTINEZ BELA, JAVIER","LAZARO TORRES, MARIO",67,MALLORCA B
"D'VAZ AFONSO, SPENCER GARCIA","VERD ALONSO, ABEL",67,MALLORCA B
"CORCINO MUÑOZ, ANDRES","WHYTE ODUNZE, MICHAEL IKENNA",85,MALLORCA B
