jugador_entra,jugador_sale,Minuto,equipo
"PONS CARRERAS, ANGEL","JANER BOSCH, NOFRE",50,FERRERIES A
"DE LA PUERTA MARTORELL, JAUME","TRIAY HIERRO, TEO",50,FERRERIES A
"BOSCH PULIDO, NIL","CANTALAPIEDRA LOBATO, IKER",63,FERRERIES A
"BOSCH VALDERRABANO, TONI","GOMILA BOSCH, LLUÍS",82,FERRERIES A
"FAMIGLIETTI MARQUEZ, LUCA","FLORIT TAJUELO, HECTOR",82,FERRERIES A
"PONCIANO BUESO, JOSEP","TALTAVULL JUANEDA, JOAN",57,PENYA CIUTADELLA ESPORTIVA A
"CAPO MORA, MARC","AGUILAR BOSCH, DAVID",57,PENYA CIUTADELLA ESPORTIVA A
"HUGUET ANGLADA, LLUIS","MOLL PONS, ROBERTO",81,PENYA CIUTADELLA ESPORTIVA A
"ACHEKHLAF BENSSAID, AYOUD","JUANEDA JUANEDA, JOSEP",86,PENYA CIUTADELLA ESPORTIVA A
"FEDELICH MARQUES, JAN","BERNAL VOIGT, YAMPEL RICHARD",86,PENYA CIUTADELLA ESPORTIVA A
