jugador_entra,jugador_sale,Minuto,equipo
"GOMEZ ACUÑA, RENSON ENRIQUE","FERRA OSPINA, CARLES JOAN",46,PALMA F.C.
"MORELL SACRISTÁN, CARLOS","ROMERO ALASSIA, LUCAS T",46,PALMA F.C.
"MARCANO FLORIAN, SEBASTIAN JESUS","VILLALONGA GÓMEZ, IKER",54,PALMA F.C.
"JIMENEZ JARAMILLO, KARLO ANDREU","VICENS VIDAL, PAU",54,PALMA F.C.
"FOLGADO GARNICA, PAULO","PORCEL MARTINEZ, JORDI",63,PALMA F.C.
"PATRICIO GUAL, MARC","BALLE BRUNET, JOAN",61,CONSTANCIA A
"CHUKWUKERE PULLET, GREGORY IKECHUKWU","MARTIN MONSALVE, IAN",72,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","BLANCO WEBER, LUCA",76,CONSTANCIA A
"KOUJILI EL TALHAOUI, MAROUAN","ROMAN DE REMENTERIA, ASIER",76,CONSTANCIA A
"OLIVER GELABERT, PERE","BOTELLO CARMONA, PAU",76,CONSTANCIA A
