jugador_entra,jugador_sale,Minuto,equipo
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","FERRER ROIG, JAUME",62,PENYA INDEPENDENT A
"EL HABBOULA EL KORTOBI, ABDELMOIZE","LLAMAS MARTINEZ, ERIC",62,PENYA INDEPENDENT A
"MARTINEZ GARCIA, ENRIQUE","BERNHARDT, JOEL PIOTR",75,PENYA INDEPENDENT A
"GRANDA VILLAVICENCIO, DAVID JOAN","LOPEZ MARI, PABLO",90,PENYA INDEPENDENT A
"ARORA, VIRAJ","CORDOBA TUR, MARC",90,PENYA INDEPENDENT A
"PARRA VIZUETE, DANIEL","SANCHIS MARTINEZ, DAVID",46,PLATGES DE CALVIA A
"PEREZ SILVENTE, ALEJANDRO","GAYUBAS GONZALEZ, LUIS MIGUEL",46,PLATGES DE CALVIA A
"PUJOL ALOMAR, TELM","ALCOLEA ESCORCIA, CARLOS",67,PLATGES DE CALVIA A
"CARDONA MARTIN, MARCOS","MAGAN MITCHELL SMITH, MIGUEL",74,PLATGES DE CALVIA A
"VIOLA, RICCARDO","HOLLINGSWORTH, HARRY RICHARD",90,PLATGES DE CALVIA A
