jugador_entra,jugador_sale,Minuto,equipo
"COMAS HUTTEN, PAU LLUIS","VIZCAINO SEGURA, ALAN",58,SD LA SALLE A
"ESCUERO PARDOS, MARTI","RODRIGUEZ MONGELOS, GAEL PAU",58,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","AMAYA MALENO, FRANCISCO",58,SD LA SALLE A
"SALMERON SEGURA, JONATHAN","PETRARCA, ELIA",64,SD LA SALLE A
"GIL MASSANET, LLUIS","FUSTER CORTES, FERNANDO",70,SD LA SALLE A
"GRAHAM, NATHAN STUART","MARTINEZ ABELLAN, IKER",46,MANACOR A
"SOLER CALDENTEY, JOEL","LAKHAL ZEROUALE, SAAD",58,MANACOR A
"NOLAN MUÑOZ, SERGIO","RODRIGUEZ GALDON, DANIEL",58,MANACOR A
"RODRIGUEZ LOPEZ, RAUL","ADROVER GARRIDO, GERARD",64,MANACOR A
"TRIAY PETHERAM, TOMAS ISMAEL","MARCOS MONGE, IKER",70,MANACOR A
