jugador_entra,jugador_sale,Minuto,equipo
"ABRAHAM BOLAÑOS, ISAAC","AQUINO GUTIERREZ, DAN JOEL",55,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","SANS JIMENEZ, MIQUEL ANGEL",55,SP. ATº CIUTAT DE PALMA
"KEITA SIDIBE, MADY","KRAUSSE, IGNACIO TOMAS",80,SP. ATº CIUTAT DE PALMA
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",86,SP. ATº CIUTAT DE PALMA
"FERNÁNDEZ CASSO, ALBERTO","CACERES AMOROS, MATEO",86,SP. ATº CIUTAT DE PALMA
"CAIMARI FIGUEROLA, JAUME","THIAM BORRAS, KARIM",37,POBLENSE A
"MEFTAH ES SALEMY, BILAL","GONZÁLEZ ONETO, ASSIER",62,POBLENSE A
"GIBSON, JASPER","MORAGUES MORAGUES, JOAN",62,POBLENSE A
"FERRER RIGO, SEBASTIÀ","AGUILERA PERELLO, ADRIÀ",90,POBLENSE A
"CANTARELLAS CRESPI, MATEU","CHICA COMAS, JUAN A",90,POBLENSE A
