jugador_entra,jugador_sale,Minuto,equipo
"BALLE BRUNET, JOAN","BOTELLO CARMONA, PAU",46,CONSTANCIA A
"CRESPI LUCENA, JUAN MIQUEL","KOUJILI EL TALHAOUI, MAROUAN",46,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","CABEZAS GALLARDO, MANUEL",61,CONSTANCIA A
"SABATER SANCHO, MARC","BLANCO WEBER, LUCA",65,CONSTANCIA A
"OLIVER GELABERT, PERE","COLL AREVALO, JORDI",71,CONSTANCIA A
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","FERRER TORRES, PEDRO",46,PENYA INDEPENDENT A
"EL HABBOULA EL KORTOBI, ABDELMOIZE","CORDOBA TUR, MARC",58,PENYA INDEPENDENT A
"FERRER ROIG, JAUME","BERNHARDT, JOEL PIOTR",58,PENYA INDEPENDENT A
"ARORA, VIRAJ","ODERA PACILIO, SANTIAGO",65,PENYA INDEPENDENT A
"LLAMAS MARTINEZ, ERIC","OROZCO RIERA, ASIER",77,PENYA INDEPENDENT A
