jugador_entra,jugador_sale,Minuto,equipo
"GONZALEZ CASURIAGA, THIAGO","MARTOS VERGARA, DANIEL",45,U D IBIZA A
"GARCIA ALBA, JAVIER","BELTRAN ALVAREZ, SERGIO",73,U D IBIZA A
"TORRES RIERA, LLUC","BERNASCONI, SANTINO",73,U D IBIZA A
"OKROGLIC SOMOZA, LUKA","GORLA, AGUSTIN",85,U D IBIZA A
"MEDINA ARANDA, SERGIO","ELIAS ARANDIA, SAMUEL ABEL",87,U D IBIZA A
"GARCÍA GARCÍA, ÁLVARO","MOYA PEDREGOSA, ALEJANDRO",60,SD LA SALLE A
"SANCHEZ LAFUENTE, ARITZ","PANEQUE PÉREZ, JOEL",60,SD LA SALLE A
"SALMERON SEGURA, JONATHAN","CORTES BOIXO, ALEIX",66,SD LA SALLE A
"GIL MASSANET, LLUIS","MARTI RODRIGUEZ, IVAN",66,SD LA SALLE A
"PUYA TUR, OSCAR","ESCUERO PARDOS, MARTI",70,SD LA SALLE A
