jugador_entra,jugador_sale,Minuto,equipo
"ESPINOZA ARMIJOS, CARLOS ANDRES","GOMEZ GORDILLO, RAUL",36,UD MAHON
"PEREZ MARTIN, IGNACIO","BOLIVAR PERAL, ROGER",46,UD MAHON
"GRUBAC, NOA","MASCARO MARTINEZ, IKER",70,UD MAHON
"LOPEZ FERNANDEZ, MARC","DE OLIVEIRA MESSIAS, KLAYVER",70,UD MAHON
"ELHADJ ABDOULAYE, BALDE","DIALLO, FODE",75,UD MAHON
"KEITA SIDIBE, MADY","GOMEZ BLANCA, AARON",51,SP. ATº CIUTAT DE PALMA
"AMENGUAL LIRIO, IVAN","KRAUSSE, IGNACIO TOMAS",51,SP. ATº CIUTAT DE PALMA
"ORDOÑEZ QUETGLAS, MARC","CACERES AMOROS, MATEO",51,SP. ATº CIUTAT DE PALMA
"FERNÁNDEZ CASSO, ALBERTO","BLANCO VALERO, DAVID",51,SP. ATº CIUTAT DE PALMA
"CORTES MONTANER, LUIS","GAETE MARTINEZ, ISMAEL",70,SP. ATº CIUTAT DE PALMA
