jugador_entra,jugador_sale,Minuto,equipo
"CORCINO MUÑOZ, ANDRES","AVILÉS MAESTRE, JOEL",57,MALLORCA B
"DIALLO CONDE, ABDOURAHAMANE","VAN DER MEER GARI, YANNICK",66,MALLORCA B
"TEJADA LLADONET, ORIOL","MARTINEZ BELA, JAVIER",66,MALLORCA B
"COCA ANTELO, ANDREW","MOLINA DONAIRE, DANIEL",76,MALLORCA B
"GARCIA LLOMPART, RAFEL","BIARNES MORENO, ALEJANDRO",76,MALLORCA B
"ELIAS ARANDIA, SAMUEL ABEL","PERIAÑEZ RODRIGUEZ, DANIEL",59,U D IBIZA A
"TORRES RIERA, LLUC","MARTOS VERGARA, DANIEL",59,U D IBIZA A
"GARCIA ALBA, JAVIER","LOPEZ CAPACETE, KENAI",59,U D IBIZA A
"RODRIGUEZ ROIG, ARIAN","BELTRAN ALVAREZ, SERGIO",71,U D IBIZA A
"MEDINA ARANDA, SERGIO","VALLS ANIORTE, TARIKU",76,U D IBIZA A
