jugador_entra,jugador_sale,Minuto,equipo
JOAN,"ORTEGA CASTILLA, HUGO",57,PALMA F.C.
"FOLGADO GARNICA, PAULO","NDIR GUEYE, MOUHAMADOUL LAMIN",68,PALMA F.C.
"PELLEGRINO, NICOLA EMANUELE","MORELL SACRISTÁN, CARLOS",68,PALMA F.C.
"FERRA OSPINA, CARLES JOAN","VICENS VIDAL, PAU",76,PALMA F.C.
"MARCANO FLORIAN, SEBASTIAN JESUS","PORCEL MARTINEZ, JORDI",76,PALMA F.C.
"BARRIGA CATRINA, VICTOR","PALAU ORDINAS, MIQUEL",34,SANTA CATALINA ATº A
"MENDOZA SOLER, MARIO","SASTRE BOTA, JAUME",60,SANTA CATALINA ATº A
"EZ ZARY SAIDI, ISMAEL","HASHIMOTO SEBASTIÁN, GAIZKA",60,SANTA CATALINA ATº A
"LOPEZ FUXA, AARON","FERNANDEZ REY, RAUL",60,SANTA CATALINA ATº A
"MASCARELL LLABRES, MARC","DEYÀ BELTRÁN, SEBASTIÀ",79,SANTA CATALINA ATº A
