jugador_entra,jugador_sale,Minuto,equipo
"MEFTAH ES SALEMY, BILAL","VIVES COMAS, JOAN JORDI",45,POBLENSE A
"GONZÁLEZ ONETO, ASSIER","MORAGUES MORAGUES, JOAN",45,POBLENSE A
"FERRER RIGO, SEBASTIÀ","THIAM BORRAS, KARIM",74,POBLENSE A
"MENDEZ DUARTE, IVAN","CAIMARI FIGUEROLA, JAUME",83,POBLENSE A
"JIMENA BELTRAN, CARLOS","TUR ESCALAS, TONI",83,POBLENSE A
"ORTIZ CARROZA, ABRAHAM","VIVES HIDALGO, IKER",45,MANACOR A
"LAKHAL ZEROUALE, SAAD","RODRIGUEZ GALDON, DANIEL",66,MANACOR A
"POSTIGO GARAT, RAUL","ALEGRIA DA SILVA, JOAO MIGUEL",68,MANACOR A
"SOLER CALDENTEY, JOEL","GARAU NICOLAU, MARC",68,MANACOR A
"TRIAY PETHERAM, TOMAS ISMAEL","LAMSIAH AJGHOUF, OSSAMA",78,MANACOR A
