jugador_entra,jugador_sale,Minuto,equipo
"ARBOS DENGRA, DIEGO","SALMERON SEGURA, JONATHAN",46,SD LA SALLE A
"GIL MASSANET, LLUIS","COMAS HUTTEN, PAU LLUIS",61,SD LA SALLE A
"PETRARCA, ELIA","FERNANDEZ CABRERA, DAVID",61,SD LA SALLE A
"AMAYA MALENO, FRANCISCO","RODRIGUEZ MONGELOS, GAEL PAU",69,SD LA SALLE A
"VIVARES ARANDA, YANNICK","CORTES BOIXO, ALEIX",77,SD LA SALLE A
"MOLL PONS, ROBERTO","CAPO MORA, MARC",53,PENYA CIUTADELLA ESPORTIVA A
"LEON JUAN, VICTOR","JUANEDA JUANEDA, JOSEP",61,PENYA CIUTADELLA ESPORTIVA A
"ARGUIMBAU ALLES, MACIA","LOPEZ GONZALEZ, ALEJANDRO",61,PENYA CIUTADELLA ESPORTIVA A
"FEDELICH MARQUES, JAN","RUS FERNANDEZ, IGNASI",77,PENYA CIUTADELLA ESPORTIVA A
"FLORIT ANGLADA, JOSEP","PONCIANO BUESO, JOSEP",77,PENYA CIUTADELLA ESPORTIVA A
