jugador_entra,jugador_sale,Minuto,equipo
"DE JUANA QUETGLAS, DIEGO","OPREA, ALESSIO MIHAI",46,ANDRATX A
"JIMENEZ PASTOR, IKER","AMER CASTILLO, MIGUEL",59,ANDRATX A
"DOBLAS TORRES, MIGUEL","SINTES DIAZ, JOAN",59,ANDRATX A
"HOMAR GARCIA, ROMAN","ROGEL ARRIAGA, BRYAN STALIN",75,ANDRATX A
"ALARCON FERRER, ADRIAN","VARGAS RODRIGUEZ, NICOLAS",75,ANDRATX A
"IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM","NGONG NGO, FABRICE",54,UD MAHON
"LASSO VIAFARA, ANDRES FELIPE","DE LA PUENTE JAÑEZ, NICOLAS",69,UD MAHON
"SINTES MELERO, ALVARO","ELHADJ ABDOULAYE, BALDE",69,UD MAHON
"FERNANDEZ ALONSO, ASIER","DE OLIVEIRA MESSIAS, EMMANUEL",76,UD MAHON
"ESPINOZA ARMIJOS, CARLOS ANDRES","GRUBAC, NOA",76,UD MAHON
