jugador_entra,jugador_sale,Minuto,equipo
"VILLALONGA GÓMEZ, IKER","PORCEL MARTINEZ, JORDI",45,PALMA F.C.
"JIMENEZ JARAMILLO, KARLO ANDREU","GOMEZ ACUÑA, RENSON ENRIQUE",62,PALMA F.C.
"ALCALDE ORTEGA, JUAN JOSÉ","MORELL SACRISTÁN, CARLOS",62,PALMA F.C.
"FOLGADO GARNICA, PAULO","VICENS VIDAL, PAU",62,PALMA F.C.
"CONDE, MAMADI","ORTEGA CASTILLA, HUGO",66,PALMA F.C.
"CONDE PEREIRA, ALEJANDRO MANUEL","BADJINKA NDIAYE, BUBAKAR",63,SAN FRANCISCO B
"TEJADA RODRIGUEZ, JOAN","SALAMANCA GALERA, AITOR",72,SAN FRANCISCO B
"MASSANET CABRER, FRANCESC","LUNEGRO, BRUNO",72,SAN FRANCISCO B
"SILVA SALINAS, ALEJANDRO","BORDOY LEAL, PEDRO",72,SAN FRANCISCO B
"ANDEBUELA BARRIOS, PABLO","SUÁREZ SERRA, ALEX",77,SAN FRANCISCO B
