jugador_entra,jugador_sale,Minuto,equipo
"AGUILERA PERELLO, ADRIÀ","GIBSON, JASPER",58,POBLENSE A
"CAIMARI FIGUEROLA, JAUME","JIMENA BELTRAN, CARLOS",58,POBLENSE A
"GONZÁLEZ ONETO, ASSIER","VIVES COMAS, JOAN JORDI",58,POBLENSE A
"THIAM BORRAS, KARIM","MORAGUES MORAGUES, JOAN",73,POBLENSE A
"FERRER RIGO, SEBASTIÀ","DE LA CRUZ RIERA, JOAN MATEU",73,POBLENSE A
"BONED GARCIA, ADRIÁ","MARTOS VERGARA, DANIEL",64,U D IBIZA A
"RODRIGUEZ ROIG, ARIAN","GARCIA ALBA, JAVIER",77,U D IBIZA A
"ELIAS ARANDIA, SAMUEL ABEL","PUGLIESE, PAOLO ALBERTO",77,U D IBIZA A
"TORRES RIERA, LLUC","BELTRAN ALVAREZ, SERGIO",85,U D IBIZA A
"MEDINA ARANDA, SERGIO","BERNASCONI, SANTINO",85,U D IBIZA A
