jugador_entra,jugador_sale,Minuto,equipo
"KEITA SIDIBE, MADY","KRZYZYK SERRANO, PEDRO",67,SP. ATº CIUTAT DE PALMA
"SARMIENTO CABAÑIN, GABRIEL A","SANS JIMENEZ, MIQUEL ANGEL",67,SP. ATº CIUTAT DE PALMA
"MUNAR LAZARO, DANIEL","KRAUSSE, IGNACIO TOMAS",75,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","ABRAHAM BOLAÑOS, ISAAC",75,SP. ATº CIUTAT DE PALMA
"FERNÁNDEZ CASSO, ALBERTO","GAETE MARTINEZ, ISMAEL",80,SP. ATº CIUTAT DE PALMA
"POSTIGO GARAT, RAUL","ADROVER GARRIDO, GERARD",67,MANACOR A
"VIVES HIDALGO, IKER","CORCHADO JIMENEZ, ISAAC",67,MANACOR A
"SOLER CALDENTEY, JOEL","RODRIGUEZ GALDON, DANIEL",81,MANACOR A
"MARTINEZ ABELLAN, IKER","MONTES CARDONA, CHRISTIAN",90,MANACOR A
"NOLAN MUÑOZ, SERGIO","ORTIZ CARROZA, ABRAHAM",90,MANACOR A
