jugador_entra,jugador_sale,Minuto,equipo
"BOTELLO CARMONA, PAU","CABEZAS GALLARDO, MANUEL",61,CONSTANCIA A
"FONTCUBERTA GALINDO, GABRIEL","CRESPI LUCENA, JUAN MIQUEL",61,CONSTANCIA A
"BLANCO WEBER, LUCA","COMPANY INGLA, JAUME",67,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","COLL AREVALO, JORDI",67,CONSTANCIA A
"SABATER SANCHO, MARC","CHUKWUKERE PULLET, GREGORY IKECHUKWU",75,CONSTANCIA A
"FERNANDEZ CABRERA, DAVID","CORTES BOIXO, ALEIX",55,SD LA SALLE A
"MOYA PEDREGOSA, ALEJANDRO","ARBOS DENGRA, DIEGO",70,SD LA SALLE A
"PUYA TUR, OSCAR","PANEQUE PÉREZ, JOEL",70,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","COMAS HUTTEN, PAU LLUIS",77,SD LA SALLE A
"GIL MASSANET, LLUIS","PETRARCA, ELIA",77,SD LA SALLE A
