jugador_entra,jugador_sale,Minuto,equipo
"PASCUAL GORNES, ENRIC","LOPEZ GONZALEZ, ALEJANDRO",68,PENYA CIUTADELLA ESPORTIVA A
"RUS FERNANDEZ, IGNASI","CAPO MORA, MARC",68,PENYA CIUTADELLA ESPORTIVA A
"HUGUET ANGLADA, LLUIS","LEON JUAN, VICTOR",71,PENYA CIUTADELLA ESPORTIVA A
"SALORT MARIN, JORGE","TRIAY SASTRE, ADRIA",88,PENYA CIUTADELLA ESPORTIVA A
"FLORIT ANGLADA, JOSEP","CAMPS SEOANE, VICTOR",88,PENYA CIUTADELLA ESPORTIVA A
"MORAGUES MORAGUES, JOAN","THIAM BORRAS, KARIM",57,POBLENSE A
"MEFTAH ES SALEMY, BILAL","GIBSON, JASPER",68,POBLENSE A
"DE LA CRUZ RIERA, JOAN MATEU","FERRER RIGO, SEBASTIÀ",81,POBLENSE A
"ASBAI HAMOUTI, ALI","GONZÁLEZ ONETO, ASSIER",81,POBLENSE A
"JIMENA BELTRAN, CARLOS","VIVES COMAS, JOAN JORDI",81,POBLENSE A
