jugador_entra,jugador_sale,Minuto,equipo
"MARTIN CABALLERO, ANGEL","VICH FORTEZA, LLUC",55,SANTA CATALINA ATº A
"EZ ZARY SAIDI, ISMAEL","LOMAS SERVERA, PAU",55,SANTA CATALINA ATº A
"HASHIMOTO SEBASTIÁN, GAIZKA","MASCARELL LLABRES, MARC",55,SANTA CATALINA ATº A
"SASTRE BOTA, JAUME","LOPEZ FUXA, AARON",67,SANTA CATALINA ATº A
"ARROYO BERNAT, ALEJANDRO","BARRIGA CATRINA, VICTOR",73,SANTA CATALINA ATº A
"SINTES PONS, PAU","CAMPS CARETA, PERE",55,FERRERIES A
"BOSCH VALDERRABANO, TONI","AMELLER RIUDAVETS, JOSEP",55,FERRERIES A
"CANTALAPIEDRA LOBATO, IKER","ROTGER LÓPEZ, LLUC",55,FERRERIES A
"TRIAY HIERRO, TEO","PONS CARRERAS, ANGEL",70,FERRERIES A
"GOMILA BOSCH, LLUÍS","JANER BOSCH, NOFRE",73,FERRERIES A
