jugador_entra,jugador_sale,Minuto,equipo
"RODRIGUEZ ROIG, ARIAN","GARCIA ALBA, JAVIER",63,U D IBIZA A
"VALLS ANIORTE, TARIKU","ELIAS ARANDIA, SAMUEL ABEL",72,U D IBIZA A
"BONED GARCIA, ADRIÁ","GORLA, AGUSTIN",80,U D IBIZA A
"OKROGLIC SOMOZA, LUKA","BERNASCONI, SANTINO",80,U D IBIZA A
"TORRES RIERA, LLUC","BELTRAN ALVAREZ, SERGIO",80,U D IBIZA A
"KRZYZYK SERRANO, PEDRO","GOMEZ BLANCA, AARON",33,SP. ATº CIUTAT DE PALMA
"KEITA SIDIBE, MADY","SANS JIMENEZ, MIQUEL ANGEL",33,SP. ATº CIUTAT DE PALMA
"CACERES AMOROS, MATEO","AMENGUAL LIRIO, IVAN",63,SP. ATº CIUTAT DE PALMA
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",74,SP. ATº CIUTAT DE PALMA
"BLANCO VALERO, DAVID","ORDOÑEZ QUETGLAS, MARC",74,SP. ATº CIUTAT DE PALMA
