jugador_entra,jugador_sale,Minuto,equipo
"BOLIVAR PERAL, ROGER","LASSO VIAFARA, ANDRES FELIPE",46,UD MAHON
"DE LA PUENTE JAÑEZ, NICOLAS","DIALLO, FODE",46,UD MAHON
"ELHADJ ABDOULAYE, BALDE","TEJEDOR MORENO, ALEJANDRO",55,UD MAHON
"SINTES MELERO, ALVARO","MASCARO MARTINEZ, IKER",55,UD MAHON
"ESPINOZA ARMIJOS, CARLOS ANDRES","DE OLIVEIRA MESSIAS, EMMANUEL",65,UD MAHON
"GOMEZ ACUÑA, RENSON ENRIQUE","ROMERO ALASSIA, LUCAS T",31,PALMA F.C.
"JIMENEZ JARAMILLO, KARLO ANDREU","FOLGADO GARNICA, PAULO",46,PALMA F.C.
"FERRA OSPINA, CARLES JOAN","FRANCO SINGEORZAN, ALEX",61,PALMA F.C.
"MARCANO FLORIAN, SEBASTIAN JESUS","SAMPOL MARTINEZ, MARC",61,PALMA F.C.
"ALLENDES SEPULVEDA, MARTIN ALONSO","ALCALDE ORTEGA, JUAN JOSÉ",65,PALMA F.C.
