jugador_entra,jugador_sale,Minuto,equipo
"COMPANY INGLA, JAUME","BOTELLO CARMONA, PAU",46,CONSTANCIA A
"KOUJILI EL TALHAOUI, MAROUAN","CHUKWUKERE PULLET, GREGORY IKECHUKWU",46,CONSTANCIA A
"SABATER SANCHO, MARC","MAIRATA NOGUERA, ADRIA",46,CONSTANCIA A
"OLIVER GELABERT, PERE","BALLE BRUNET, JOAN",51,CONSTANCIA A
"MARTIN MONSALVE, IAN","CABEZAS GALLARDO, MANUEL",71,CONSTANCIA A
"CASTAÑER PECELLIN, RAFAEL","ARALUCE SERRA, ADRIAN",46,PENYA ARRABAL A
"LEBRERO BENITEZ, HUGO","SEGUI ESTEBAN, IAN",61,PENYA ARRABAL A
"PONS SERRANO, ALEIX","HERRERA IGLESIAS, ADRIAN",61,PENYA ARRABAL A
"VALLESPIR TIMONER, PERE MARC","CRESPI BARRERA, LEONARDO",79,PENYA ARRABAL A
"ROTTLANDER, LENNOX MARKUS","GARCIA HERNANDEZ, JOSE RAMON",94,PENYA ARRABAL A
