jugador_entra,jugador_sale,Minuto,equipo
"MARTINEZ ABELLAN, IKER","ARCOS MUÑOZ, IKER",62,MANACOR A
"TRIAY PETHERAM, TOMAS ISMAEL","LAKHAL ZEROUALE, SAAD",62,MANACOR A
"RODRIGUEZ LOPEZ, RAUL","LAMSIAH AJGHOUF, OSSAMA",78,MANACOR A
"BARCELO PALMER, JUAN","CORCHADO JIMENEZ, ISAAC",78,MANACOR A
"MONTES CARDONA, CHRISTIAN","MARCOS MONGE, IKER",86,MANACOR A
"SARMIENTO CABAÑIN, GABRIEL A","AQUINO GUTIERREZ, DAN JOEL",43,SP. ATº CIUTAT DE PALMA
"PUJOL FONT, JAUME","BARRY DIALLO, MAMADOU ALIOU",45,SP. ATº CIUTAT DE PALMA
"KEITA SIDIBE, MADY","MARTINEZ GOMEZ, DYLAN",78,SP. ATº CIUTAT DE PALMA
"GOMEZ BARBOSA, RICARDO ADRIAN","ABRAHAM BOLAÑOS, ISAAC",78,SP. ATº CIUTAT DE PALMA
"AMENGUAL LIRIO, IVAN","KRAUSSE, IGNACIO TOMAS",86,SP. ATº CIUTAT DE PALMA
