jugador_entra,jugador_sale,Minuto,equipo
"TALTAVULL VALVERDE, IAN","CAPO MORA, MARC",16,PENYA CIUTADELLA ESPORTIVA A
"FEDELICH MARQUES, JAN","MARQUES BAGUR, JOAN",64,PENYA CIUTADELLA ESPORTIVA A
"LEON JUAN, VICTOR","JUANEDA JUANEDA, JOSEP",64,PENYA CIUTADELLA ESPORTIVA A
"CAMPS SEOANE, VICTOR","PONS MOLL, FRANCESC",74,PENYA CIUTADELLA ESPORTIVA A
"PALLICER AGUILO, XAVIER","TRIAY SASTRE, ADRIA",74,PENYA CIUTADELLA ESPORTIVA A
"VAN DER MEER GARI, YANNICK","VERD ALONSO, ABEL",46,MALLORCA B
"CORCINO MUÑOZ, ANDRES","LAZARO TORRES, MARIO",67,MALLORCA B
"GARCIA LLOMPART, RAFEL","MOLINA DONAIRE, DANIEL",67,MALLORCA B
"FRESNEDA HIDALGO, HUGO","TEJADA LLADONET, ORIOL",74,MALLORCA B
"COCA ANTELO, ANDREW","HORRACH LLABRES, GERARDO",81,MALLORCA B
