jugador_entra,jugador_sale,Minuto,equipo
"LUNEGRO, BRUNO","SALAMANCA GALERA, AITOR",45,SAN FRANCISCO B
"SUÁREZ SERRA, ALEX","BADJINKA NDIAYE, BUBAKAR",45,SAN FRANCISCO B
"LOPEZ CABRERA, JESUS","RIBAS MUÑOZ, SERGI",60,SAN FRANCISCO B
"BARRAGAN AGUILO, HECTOR DARIO","BORDOY LEAL, PEDRO",60,SAN FRANCISCO B
"CLADERA SOBERATS, LLORENÇ","GIRALDE BAUZA, JAVIER",60,SAN FRANCISCO B
"FRANCO SINGEORZAN, ALEX","SEGORBE GODOY, MARCOS",45,PALMA F.C.
"VILLALONGA GÓMEZ, IKER","PORCEL MARTINEZ, JORDI",45,PALMA F.C.
"JIMENEZ JARAMILLO, KARLO ANDREU","FERRA OSPINA, CARLES JOAN",64,PALMA F.C.
"PELLEGRINO, NICOLA EMANUELE","GIL GOMILA, XAYRON",79,PALMA F.C.
"ROMERO ALASSIA, LUCAS T","VICENS VIDAL, PAU",84,PALMA F.C.
