jugador_entra,jugador_sale,Minuto,equipo
"GOMILA BOSCH, LLUÍS","PONS CARRERAS, ANGEL",54,FERRERIES A
"ROTGER LÓPEZ, LLUC","BOSCH VALDERRABANO, TONI",58,FERRERIES A
"BOSCH PULIDO, NIL","MARIN HERNANDEZ, PAU",58,FERRERIES A
"CAMPS CARETA, PERE","CANTALAPIEDRA LOBATO, IKER",82,FERRERIES A
"AMELLER RIUDAVETS, JOSEP","SINTES PONS, PAU",82,FERRERIES A
"TEJADA RODRIGUEZ, JOAN","BADJINKA NDIAYE, BUBAKAR",58,SAN FRANCISCO B
"SILVA SALINAS, ALEJANDRO","BORDOY LEAL, PEDRO",58,SAN FRANCISCO B
"ANDEBUELA BARRIOS, PABLO","SUÁREZ SERRA, ALEX",64,SAN FRANCISCO B
"ALARCON CAVERO, JOEL","LUNEGRO, BRUNO",64,SAN FRANCISCO B
"CONDE PEREIRA, ALEJANDRO MANUEL","SALAMANCA GALERA, AITOR",64,SAN FRANCISCO B
