jugador_entra,jugador_sale,Minuto,equipo
"MARTINEZ BELA, JAVIER","CORCINO MUÑOZ, ANDRES",56,MALLORCA B
"VERA SALINAS, ERIK","D'VAZ AFONSO, SPENCER GARCIA",68,MALLORCA B
"COCA ANTELO, ANDREW","MOLINA DONAIRE, DANIEL",68,MALLORCA B
"BURGAYA GENOVART, FERRAN","DIALLO CONDE, ABDOURAHAMANE",78,MALLORCA B
"TEJADA LLADONET, ORIOL","FRESNEDA HIDALGO, HUGO",78,MALLORCA B
"GALVEZ ESPINOZA, BRAD ANTONY","MORENO GODOY, NICOLAS",6,CONSTANCIA A
"SABATER SANCHO, MARC","CHUKWUKERE PULLET, GREGORY IKECHUKWU",46,CONSTANCIA A
"COLL AREVALO, JORDI","BLANCO WEBER, LUCA",73,CONSTANCIA A
"ROMAN DE REMENTERIA, ASIER","MAIRATA NOGUERA, ADRIA",74,CONSTANCIA A
"AMENGUAL PRIETO, CHRISTIAN","OLIVER GELABERT, PERE",74,CONSTANCIA A
