jugador_entra,jugador_sale,Minuto,equipo
"MESQUIDA URIBE, XAVIER","GARCIA HERNANDEZ, JOSE RAMON",58,PENYA ARRABAL A
"GARCES NAVARRETE, JEREMY","MARTINEZ MUNTANER, SERGI",70,PENYA ARRABAL A
"CASTAÑER PECELLIN, RAFAEL","ARIAS BESTARD, ENZO",70,PENYA ARRABAL A
"ROTTLANDER, LENNOX MARKUS","HERRERA IGLESIAS, ADRIAN",70,PENYA ARRABAL A
"VALLESPIR TIMONER, PERE MARC","CRESPI BARRERA, LEONARDO",81,PENYA ARRABAL A
"HASHIMOTO SEBASTIÁN, GAIZKA","LOPEZ FUXA, AARON",70,SANTA CATALINA ATº A
"MENDOZA SOLER, MARIO","MARTIN CABALLERO, ANGEL",70,SANTA CATALINA ATº A
"ARROYO BERNAT, ALEJANDRO","FUSTER LATORRE, DANIEL",70,SANTA CATALINA ATº A
"EZ ZARY SAIDI, ISMAEL","GARCIAS LLABRES, MIQUEL",78,SANTA CATALINA ATº A
"AOUATE OHANA, YARIN","DEYÀ BELTRÁN, SEBASTIÀ",84,SANTA CATALINA ATº A
