jugador_entra,jugador_sale,Minuto,equipo
"AGUILERA PERELLO, ADRIÀ","FERRER RIGO, SEBASTIÀ",75,POBLENSE A
"GIBSON, JASPER","MORAGUES MORAGUES, JOAN",89,POBLENSE A
"JIMENA BELTRAN, CARLOS","CAIMARI FIGUEROLA, JAUME",89,POBLENSE A
"VIVES COMAS, JOAN JORDI","RETTICH SOLER, JOSEP",95,POBLENSE A
"MEFTAH ES SALEMY, BILAL","CHICA COMAS, JUAN A",95,POBLENSE A
"GARCIA MEDRANO, MARCOS","ALCOLEA ESCORCIA, CARLOS",55,PLATGES DE CALVIA A
"MAGAN MITCHELL SMITH, MIGUEL","SOLIVELLAS LLOMPART, JOAQUÍN",55,PLATGES DE CALVIA A
"PEREZ SILVENTE, ALEJANDRO","PUJOL ALOMAR, TELM",70,PLATGES DE CALVIA A
"FUENTES RULLAN, PABLO","HOLLINGSWORTH, HARRY RICHARD",87,PLATGES DE CALVIA A
"CARDONA MARTIN, MARCOS","CASAUS SANCHEZ, JOSE IGNACIO",87,PLATGES DE CALVIA A
