jugador_entra,jugador_sale,Minuto,equipo
"CHUKWUKERE PULLET, GREGORY IKECHUKWU","CABEZAS GALLARDO, MANUEL",57,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","SABATER SANCHO, MARC",57,CONSTANCIA A
"OLIVER GELABERT, PERE","BLANCO WEBER, LUCA",75,CONSTANCIA A
"FONTCUBERTA GALINDO, GABRIEL","CRESPI LUCENA, JUAN MIQUEL",75,CONSTANCIA A
"BALLE BRUNET, JOAN","COLL AREVALO, JORDI",85,CONSTANCIA A
"FERRER RIGO, SEBASTIÀ","RIERA MARTÍNEZ, FERRAN",45,POBLENSE A
"THIAM BORRAS, KARIM","MORAGUES MORAGUES, JOAN",45,POBLENSE A
"AGUILERA PERELLO, ADRIÀ","GONZÁLEZ ONETO, ASSIER",64,POBLENSE A
"GIBSON, JASPER","TUR ESCALAS, TONI",82,POBLENSE A
"VIVES COMAS, JOAN JORDI","MENDEZ DUARTE, IVAN",82,POBLENSE A
