jugador_entra,jugador_sale,Minuto,equipo
"CASAUS SANCHEZ, JOSE IGNACIO","EXPOSITO BINNEWIES, ALEJANDRO",46,PLATGES DE CALVIA A
"PAYERO MOLINA, NICOLAS","PARRA VIZUETE, DANIEL",46,PLATGES DE CALVIA A
"ALCOLEA ESCORCIA, CARLOS","GARCIA MEDRANO, MARCOS",46,PLATGES DE CALVIA A
"PUJOL ALOMAR, TELM","MAGAN MITCHELL SMITH, MIGUEL",54,PLATGES DE CALVIA A
"CARDONA MARTIN, MARCOS","GARCÍA RODRÍGUEZ, UNAI",67,PLATGES DE CALVIA A
"SANCHO OLIVER, PEDRO","ABRAHAM BOLAÑOS, ISAAC",61,SP. ATº CIUTAT DE PALMA
"SANS JIMENEZ, MIQUEL ANGEL","AMENGUAL LIRIO, IVAN",61,SP. ATº CIUTAT DE PALMA
"PUJOL FONT, JAUME","MUNAR LAZARO, DANIEL",72,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","SARMIENTO CABAÑIN, GABRIEL A",81,SP. ATº CIUTAT DE PALMA
"FERNÁNDEZ CASSO, ALBERTO","BARRY DIALLO, MAMADOU ALIOU",81,SP. ATº CIUTAT DE PALMA
