jugador_entra,jugador_sale,Minuto,equipo
"FERNANDEZ ALONSO, ASIER","IZAGUIRRE RODRIGUEZ, RICARDO ABRAHAM",46,UD MAHON
"BOLIVAR PERAL, ROGER","MASCARO MARTINEZ, IKER",67,UD MAHON
"ESPINOZA ARMIJOS, CARLOS ANDRES","PEREZ MARTIN, IGNACIO",67,UD MAHON
"TEJEDOR MORENO, ALEJANDRO","DE OLIVEIRA MESSIAS, EMMANUEL",77,UD MAHON
"SINTES MELERO, ALVARO","DE OLIVEIRA MESSIAS, KLAYVER",77,UD MAHON
"LLAMAS MARTINEZ, ERIC","CORDOBA TUR, MARC",67,PENYA INDEPENDENT A
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","LOPEZ MARI, PABLO",73,PENYA INDEPENDENT A
"BERNHARDT, JOEL PIOTR","ODERA PACILIO, SANTIAGO",81,PENYA INDEPENDENT A
"OROZCO RIERA, ASIER","CREUHERAS GARCIA, MATHEO",81,PENYA INDEPENDENT A
"FERRER TORRES, PEDRO","FAQUINETTI VERGILIO, SAMUEL",81,PENYA INDEPENDENT A
