jugador_entra,jugador_sale,Minuto,equipo
"BOSCH VALDERRABANO, TONI","AMELLER RIUDAVETS, JOSEP",3,FERRERIES A
"JANER BOSCH, NOFRE","PULIDO COLL, IZAN",45,FERRERIES A
"ROTGER LÓPEZ, LLUC","TRIAY HIERRO, TEO",75,FERRERIES A
"CANTALAPIEDRA LOBATO, IKER","DE LA PUERTA MARTORELL, JAUME",75,FERRERIES A
"MBAYE RUIZ, MOUHAMAD YASIN","GOMILA BOSCH, LLUÍS",83,FERRERIES A
"FERRER TORRES, PEDRO","VIERA GONZALEZ, SANTIAGO",45,PENYA INDEPENDENT A
"MARTINEZ GARCIA, ENRIQUE","EL ATTARINE BOUZID, MOHAMED",56,PENYA INDEPENDENT A
"BERNHARDT, JOEL PIOTR","GRANDA VILLAVICENCIO, DAVID JOAN",66,PENYA INDEPENDENT A
"LLAMAS MARTINEZ, ERIC","ODERA PACILIO, SANTIAGO",72,PENYA INDEPENDENT A
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","CORDOBA TUR, MARC",72,PENYA INDEPENDENT A
