jugador_entra,jugador_sale,Minuto,equipo
"TORRALBA TANUGGI, LUIS","PETRARCA, ELIA",56,SD LA SALLE A
"GARCÍA GARCÍA, ÁLVARO","SANCHEZ LAFUENTE, ARITZ",65,SD LA SALLE A
"RODRIGUEZ MONGELOS, GAEL PAU","SALMERON SEGURA, JONATHAN",65,SD LA SALLE A
"MOYA PEDREGOSA, ALEJANDRO","PANEQUE PÉREZ, JOEL",79,SD LA SALLE A
"FERNANDEZ CABRERA, DAVID","COMAS HUTTEN, PAU LLUIS",79,SD LA SALLE A
"SUÁREZ SERRA, ALEX","ANDEBUELA BARRIOS, PABLO",58,SAN FRANCISCO B
"CONDE PEREIRA, ALEJANDRO MANUEL","CLADERA SOBERATS, LLORENÇ",70,SAN FRANCISCO B
"BORDOY LEAL, PEDRO","SALAMANCA GALERA, AITOR",70,SAN FRANCISCO B
"LOPEZ CABRERA, JESUS","SILVA SALINAS, ALEJANDRO",70,SAN FRANCISCO B
"ALARCON CAVERO, JOEL","LUNEGRO, BRUNO",79,SAN FRANCISCO B
