jugador_entra,jugador_sale,Minuto,equipo
"ABRAHAM BOLAÑOS, ISAAC","KRAUSSE, IGNACIO TOMAS",59,SP. ATº CIUTAT DE PALMA
"ORDOÑEZ QUETGLAS, MARC","SARMIENTO CABAÑIN, GABRIEL A",67,SP. ATº CIUTAT DE PALMA
"PUJOL FONT, JAUME","BARRY DIALLO, MAMADOU ALIOU",67,SP. ATº CIUTAT DE PALMA
"AQUINO GUTIERREZ, DAN JOEL","KRZYZYK SERRANO, PEDRO",79,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","MUNAR LAZARO, DANIEL",79,SP. ATº CIUTAT DE PALMA
"BALLE BRUNET, JOAN","MARTIN MONSALVE, IAN",62,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","CHUKWUKERE PULLET, GREGORY IKECHUKWU",62,CONSTANCIA A
"CABEZAS GALLARDO, MANUEL","BOTELLO CARMONA, PAU",73,CONSTANCIA A
"ROMAN DE REMENTERIA, ASIER","MAIRATA NOGUERA, ADRIA",73,CONSTANCIA A
"OLIVER GELABERT, PERE","COLL AREVALO, JORDI",77,CONSTANCIA A
