jugador_entra,jugador_sale,Minuto,equipo
"MASSANET CABRER, FRANCESC","BORDOY LEAL, PEDRO",65,SAN FRANCISCO B
"SILVA SALINAS, ALEJANDRO","BADJINKA NDIAYE, BUBAKAR",65,SAN FRANCISCO B
"DIAZ ROMERO, GYLBERT","LUNEGRO, BRUNO",65,SAN FRANCISCO B
"CONDE PEREIRA, ALEJANDRO MANUEL","SUÁREZ SERRA, ALEX",66,SAN FRANCISCO B
"ALARCON CAVERO, JOEL","SALAMANCA GALERA, AITOR",83,SAN FRANCISCO B
"BURGAYA GENOVART, FERRAN","HORRACH LLABRES, GERARDO",56,MALLORCA B
"TEJADA LLADONET, ORIOL","FRESNEDA HIDALGO, HUGO",66,MALLORCA B
"COCA ANTELO, ANDREW","MARTINEZ BELA, JAVIER",66,MALLORCA B
"MOLINA DONAIRE, DANIEL","BIARNES MORENO, ALEJANDRO",66,MALLORCA B
"GARCIA LLOMPART, RAFEL","SIDIROPOULOS, ANASTASIOS",78,MALLORCA B
