jugador_entra,jugador_sale,Minuto,equipo
"GUICHANDUT GOMILA, MARC","DOMINICI ALMONTE, ANTHONY DE JESUS",46,MANACOR A
"MORALES RODRIGUEZ, MIGUEL ANGEL","ADROVER GARRIDO, GERARD",59,MANACOR A
"POSTIGO GARAT, RAUL","BAUZA COMPANY, JOAN",59,MANACOR A
"FUSTER GONZALEZ, SERGI","RODRIGUEZ GALDON, DANIEL",68,MANACOR A
"LAKHAL ZEROUALE, SAAD","MARCOS MONGE, IKER",82,MANACOR A
"PATRICIO GUAL, MARC","CABEZAS GALLARDO, MANUEL",60,CONSTANCIA A
"AMENGUAL PRIETO, CHRISTIAN","SABATER SANCHO, MARC",60,CONSTANCIA A
"BOTELLO CARMONA, PAU","BALLE BRUNET, JOAN",60,CONSTANCIA A
"COLL AREVALO, JORDI","MARTIN MONSALVE, IAN",73,CONSTANCIA A
"GALVEZ ESPINOZA, BRAD ANTONY","BLANCO WEBER, LUCA",82,CONSTANCIA A
