jugador_entra,jugador_sale,Minuto,equipo
"BERNAL VOIGT, YAMPEL RICHARD","MOLL PONS, ROBERTO",60,PENYA CIUTADELLA ESPORTIVA A
"PASCUAL GORNES, ENRIC","AGUILAR BOSCH, DAVID",60,PENYA CIUTADELLA ESPORTIVA A
"SALORT MARIN, JORGE","RUS FERNANDEZ, IGNASI",73,PENYA CIUTADELLA ESPORTIVA A
"CAPO MORA, MARC","FLORIT ANGLADA, JOSEP",86,PENYA CIUTADELLA ESPORTIVA A
"HUGUET ANGLADA, LLUIS","TRIAY SASTRE, ADRIA",86,PENYA CIUTADELLA ESPORTIVA A
"DE OLIVEIRA MESSIAS, KLAYVER","SINTES MELERO, ALVARO",45,UD MAHON
"TEJEDOR MORENO, ALEJANDRO","ELHADJ ABDOULAYE, BALDE",45,UD MAHON
"MASCARO MARTINEZ, IKER","GRUBAC, NOA",54,UD MAHON
"LOPEZ FERNANDEZ, MARC","DE OLIVEIRA MESSIAS, EMMANUEL",71,UD MAHON
"ESPINOZA ARMIJOS, CARLOS ANDRES","BOLIVAR PERAL, ROGER",88,UD MAHON
