jugador_entra,jugador_sale,Minuto,equipo
"CORDERO VILARCHAO, CHRISTIAN","FIOL JAEN, ADRIAN",57,POBLENSE A
"VIVES COMAS, JOAN JORDI","FERRER RIGO, SEBASTIÀ",71,POBLENSE A
"MEFTAH ES SALEMY, BILAL","AGUILERA PERELLO, ADRIÀ",71,POBLENSE A
"MORAGUES MORAGUES, JOAN","FERNANDEZ GOMEZ, LEO",71,POBLENSE A
"ASBAI HAMOUTI, ALI","TUR ESCALAS, TONI",80,POBLENSE A
"MASSANET CABRER, FRANCESC","BADJINKA NDIAYE, BUBAKAR",46,SAN FRANCISCO B
"LLEDO SAMPOL, ADRIA","SALAMANCA GALERA, AITOR",71,SAN FRANCISCO B
"SILVA SALINAS, ALEJANDRO","LUNEGRO, BRUNO",73,SAN FRANCISCO B
"DIAZ ROMERO, GYLBERT","BORDOY LEAL, PEDRO",73,SAN FRANCISCO B
"CONDE PEREIRA, ALEJANDRO MANUEL","SUÁREZ SERRA, ALEX",78,SAN FRANCISCO B
