jugador_entra,jugador_sale,Minuto,equipo
"VIZCAINO SEGURA, ALAN","PUYA TUR, OSCAR",46,SD LA SALLE A
"COMAS HUTTEN, PAU LLUIS","ESCUERO PARDOS, MARTI",46,SD LA SALLE A
"TORRALBA TANUGGI, LUIS","RODRIGUEZ MONGELOS, GAEL PAU",58,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","MOYA PEDREGOSA, ALEJANDRO",58,SD LA SALLE A
"PANEQUE PÉREZ, JOEL","FERNANDEZ CABRERA, DAVID",58,SD LA SALLE A
"MARTINEZ GARCIA, ENRIQUE","FAQUINETTI VERGILIO, SAMUEL",19,PENYA INDEPENDENT A
"LLAMAS MARTINEZ, ERIC","GRANDA VILLAVICENCIO, DAVID JOAN",19,PENYA INDEPENDENT A
"LOPEZ MARI, PABLO","CREUHERAS GARCIA, MATHEO",46,PENYA INDEPENDENT A
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","EL HABBOULA EL KORTOBI, ABDELMOIZE",54,PENYA INDEPENDENT A
"BERNHARDT, JOEL PIOTR","CORDOBA TUR, MARC",58,PENYA INDEPENDENT A
