jugador_entra,jugador_sale,Minuto,equipo
"CANTALAPIEDRA LOBATO, IKER","ROTGER LÓPEZ, LLUC",45,FERRERIES A
"TRIAY HIERRO, TEO","CAMPS CARETA, PERE",45,FERRERIES A
"MBAYE RUIZ, MOUHAMAD YASIN","PULIDO COLL, IZAN",45,FERRERIES A
"FLORES BARRERA, GERARD","JANER BOSCH, NOFRE",60,FERRERIES A
"BOSCH PULIDO, NIL","DE LA PUERTA MARTORELL, JAUME",67,FERRERIES A
"PANEQUE PÉREZ, JOEL","GARCÍA GARCÍA, ÁLVARO",43,SD LA SALLE A
"CORTES BOIXO, ALEIX","ESCUERO PARDOS, MARTI",60,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","SALMERON SEGURA, JONATHAN",60,SD LA SALLE A
"AMAYA MALENO, FRANCISCO","RODRIGUEZ MONGELOS, GAEL PAU",71,SD LA SALLE A
"MOYA PEDREGOSA, ALEJANDRO","VIZCAINO SEGURA, ALAN",71,SD LA SALLE A
