jugador_entra,jugador_sale,Minuto,equipo
"RIBAS MUÑOZ, SERGI","LOPEZ CABRERA, JESUS",19,SAN FRANCISCO B
"SALAMANCA GALERA, AITOR","SILVA SALINAS, ALEJANDRO",46,SAN FRANCISCO B
"CLADERA SOBERATS, LLORENÇ","ANDEBUELA BARRIOS, PABLO",46,SAN FRANCISCO B
"BORDOY LEAL, PEDRO","LLEDO SAMPOL, ADRIA",46,SAN FRANCISCO B
"BADJINKA NDIAYE, BUBAKAR","LUNEGRO, BRUNO",64,SAN FRANCISCO B
"SANCHO OLIVER, PEDRO","BARRY DIALLO, MAMADOU ALIOU",59,SP. ATº CIUTAT DE PALMA
"ABRAHAM BOLAÑOS, ISAAC","MUNAR LAZARO, DANIEL",59,SP. ATº CIUTAT DE PALMA
"GAETE MARTINEZ, ISMAEL","SANS JIMENEZ, MIQUEL ANGEL",67,SP. ATº CIUTAT DE PALMA
"GOMEZ BLANCA, AARON","AMENGUAL LIRIO, IVAN",75,SP. ATº CIUTAT DE PALMA
"FERNÁNDEZ CASSO, ALBERTO","KRZYZYK SERRANO, PEDRO",75,SP. ATº CIUTAT DE PALMA
