jugador_entra,jugador_sale,Minuto,equipo
"SINTES MELERO, ALVARO","PEREZ MARTIN, IGNACIO",46,UD MAHON
"FERNANDEZ ALONSO, ASIER","NGONG NGO, FABRICE",59,UD MAHON
"BOLIVAR PERAL, ROGER","DIALLO, FODE",59,UD MAHON
"TEJEDOR MORENO, ALEJANDRO","MASCARO MARTINEZ, IKER",67,UD MAHON
"ESPINOZA ARMIJOS, CARLOS ANDRES","LOPEZ FERNANDEZ, MARC",67,UD MAHON
"PASCUAL RIERA, MIGUEL ANGEL","HERRERA IGLESIAS, ADRIAN",46,PENYA ARRABAL A
"SEGUI ESTEBAN, IAN","LEBRERO BENITEZ, HUGO",64,PENYA ARRABAL A
"MORENO PUJOL, JAVIER","GARCIA HERNANDEZ, JOSE RAMON",76,PENYA ARRABAL A
"MESQUIDA URIBE, XAVIER","CRESPI BARRERA, LEONARDO",76,PENYA ARRABAL A
"ARIAS BESTARD, ENZO","MARTINEZ MUNTANER, SERGI",82,PENYA ARRABAL A
