jugador_entra,jugador_sale,Minuto,equipo
"DE JUANA QUETGLAS, SERGIO","ALMERING, BEPPE",46,ANDRATX A
"LABRADOR VILLAR, SERGIO","TUR HORRACH, HUG",50,ANDRATX A
"HOMAR GARCIA, ROMAN","PATRICIO TORRRENS, JUAN",50,ANDRATX A
"ALARCON FERRER, ADRIAN","JIMENEZ PASTOR, IKER",82,ANDRATX A
"ACOSTA MORENAS, GERMAN","VILLARRAMIEL PIÑEIRO, IVAN",88,ANDRATX A
"SILVA SALINAS, ALEJANDRO","BADJINKA NDIAYE, BUBAKAR",46,SAN FRANCISCO B
"ALARCON CAVERO, JOEL","BORDOY LEAL, PEDRO",46,SAN FRANCISCO B
"LLEDO SAMPOL, ADRIA","MASSANET CABRER, FRANCESC",61,SAN FRANCISCO B
"CONDE PEREIRA, ALEJANDRO MANUEL","SUÁREZ SERRA, ALEX",61,SAN FRANCISCO B
"LOPEZ CABRERA, JESUS","CLADERA SOBERATS, LLORENÇ",69,SAN FRANCISCO B
