jugador_entra,jugador_sale,Minuto,equipo
"HUGUET ANGLADA, LLUIS","MARQUES BAGUR, JOAN",60,PENYA CIUTADELLA ESPORTIVA A
"PARRONA ALOMSO, JOSEP","CAPO MORA, MARC",60,PENYA CIUTADELLA ESPORTIVA A
"FLORIT ANGLADA, JOSEP","SALORT MARIN, JORGE",60,PENYA CIUTADELLA ESPORTIVA A
"PASCUAL GORNES, ENRIC","TRIAY SASTRE, ADRIA",76,PENYA CIUTADELLA ESPORTIVA A
"LOPEZ GONZALEZ, ALEJANDRO","DIAZ LLABRES, ISAAC",82,PENYA CIUTADELLA ESPORTIVA A
"BLANCO WEBER, NOAH","CRESPI LUCENA, JUAN MIQUEL",38,CONSTANCIA A
"BLANCO WEBER, LUCA","COLL AREVALO, JORDI",45,CONSTANCIA A
"CABEZAS GALLARDO, MANUEL","GALVEZ ESPINOZA, BRAD ANTONY",45,CONSTANCIA A
"OLIVER GELABERT, PERE","BALLE BRUNET, JOAN",60,CONSTANCIA A
"CHUKWUKERE PULLET, GREGORY IKECHUKWU","PATRICIO GUAL, MARC",70,CONSTANCIA A
