jugador_entra,jugador_sale,Minuto,equipo
"FERNANDEZ HEREDIA, ALEJANDRO","CAIMARI FIGUEROLA, JAUME",70,POBLENSE A
"DE LA CRUZ RIERA, JOAN MATEU","GONZÁLEZ ONETO, ASSIER",84,POBLENSE A
"GIBSON, JASPER","MORAGUES MORAGUES, JOAN",84,POBLENSE A
"ASBAI HAMOUTI, ALI","RETTICH SOLER, JOSEP",89,POBLENSE A
"MEFTAH ES SALEMY, BILAL","FERRER RIGO, SEBASTIÀ",89,POBLENSE A
"EL HABBOULA EL KORTOBI, ABDELMOIZE","CORDOBA TUR, MARC",46,PENYA INDEPENDENT A
"CREUHERAS GARCIA, MATHEO","ODERA PACILIO, SANTIAGO",52,PENYA INDEPENDENT A
"PRATS RIPOLL, MIQUEL","LOPEZ MARI, PABLO",61,PENYA INDEPENDENT A
"GHARBI KHAMMAL EL BAKKALI, NASROLLAH","FERRER TORRES, PEDRO",82,PENYA INDEPENDENT A
"BASILIO FERNANDEZ, MARC","OROZCO RIERA, ASIER",82,PENYA INDEPENDENT A
