jugador_entra,jugador_sale,Minuto,equipo
"TORRALBA TANUGGI, LUIS","SALMERON SEGURA, JONATHAN",64,SD LA SALLE A
"ESCUERO PARDOS, MARTI","PUYA TUR, OSCAR",72,SD LA SALLE A
"PETRARCA, ELIA","COMAS HUTTEN, PAU LLUIS",72,SD LA SALLE A
"VIVARES ARANDA, YANNICK","FERNANDEZ CABRERA, DAVID",72,SD LA SALLE A
"MARTI RODRIGUEZ, IVAN","PETRARCA, ELIA",76,SD LA SALLE A
"CASTAÑER PECELLIN, RAFAEL","HERRERA IGLESIAS, ADRIAN",53,PENYA ARRABAL A
"LEBRERO BENITEZ, HUGO","SEGUI ESTEBAN, IAN",68,PENYA ARRABAL A
"ARIAS BESTARD, ENZO","PASCUAL RIERA, MIGUEL ANGEL",68,PENYA ARRABAL A
"MORENO PUJOL, JAVIER","CRESPI BARRERA, LEONARDO",83,PENYA ARRABAL A
"MESQUIDA URIBE, XAVIER","MUÑOZ BAIXAULI, JUAN",83,PENYA ARRABAL A
